number,time_id,title,上榜时间,最后时间,life_span
2,277811,刚恋爱时有多甜蜜,2020-11-14 16:04:02,2020-11-15 07:42:01,56279
2,277811,4AM获胜,2020-11-14 23:34:01,2020-11-15 07:10:02,27361
2,277811,单肩包变双肩包的神奇操作,2020-11-14 19:14:02,2020-11-15 07:10:02,42960
2,277811,跨界最成功的演员,2020-11-14 16:16:02,2020-11-15 07:36:02,55200
2,277811,LGD大鹅战胜TES,2020-11-14 23:34:01,2020-11-15 07:16:02,27721
2,277811,八旬白眉老大爷碾压全场式投3分球,2020-11-14 22:24:02,2020-11-15 07:38:02,33240
2,277811,科学家研制出有望替代塑料的仿生新材料,2020-11-14 20:28:02,2020-11-15 07:24:02,39360
2,277811,曾伟权病逝,2020-11-14 15:38:01,2020-11-15 03:44:02,43561
2,277811,打浦桥,2020-11-14 21:34:02,2020-11-15 01:36:02,14520
2,277811,吴尊友称境外货物要做到批批检测,2020-11-14 19:34:02,2020-11-15 07:10:02,41760
3,278171,孟子义,2020-11-15 09:42:01,2020-11-15 18:40:01,32280
3,278171,两女子凌晨开车冲入河中溺亡,2020-11-15 07:36:02,2020-11-15 15:40:02,29040
3,278171,吉克隽逸手机掉进西湖里了,2020-11-15 10:26:01,2020-11-15 18:00:01,27240
3,278171,ella公开生产过程,2020-11-15 08:02:01,2020-11-15 16:48:02,31561
3,278171,抗糖真能抗衰老吗,2020-11-15 11:38:01,2020-11-15 21:50:02,36721
3,278171,老人撕出11米清明上河图,2020-11-15 09:26:02,2020-11-15 16:58:01,27119
3,278171,幼师摔打男童致骨折称被门误夹,2020-11-15 10:02:02,2020-11-15 16:38:02,23760
3,278171,世界最贵赛鸽被拍出1030万,2020-11-15 10:40:02,2020-11-15 14:36:02,14160
3,278171,内华达州州长新冠检测阳性,2020-11-15 07:58:02,2020-11-15 19:10:02,40320
3,278171,从设计稿上走下来的模特,2020-11-15 09:10:02,2020-11-15 14:40:02,19800
3,278171,尔冬升问陈宥维你能抱她们一下吗,2020-11-15 07:16:02,2020-11-15 14:52:02,27360
3,278171,黄子韬问马伯骞时间还能续吗,2020-11-15 11:48:02,2020-11-15 18:08:02,22800
3,278171,Cat首发,2020-11-15 10:44:02,2020-11-15 14:22:02,13080
3,278171,下半年来最严重的雾和霾,2020-11-15 07:54:02,2020-11-15 14:28:01,23639
3,278171,画皮BGM竟然用了琴师,2020-11-15 07:20:02,2020-11-15 14:36:02,26160
3,278171,考研学生在图书馆内打伞学习,2020-11-15 09:46:01,2020-11-15 16:36:02,24601
3,278171,明星大侦探路透,2020-11-15 09:24:01,2020-11-15 16:48:02,26641
3,278171,猫的社会性死亡不过如此,2020-11-15 07:38:02,2020-11-15 15:46:02,29280
3,278171,粉笔模考好难,2020-11-15 11:24:02,2020-11-15 14:52:02,12480
3,278171,日本连续两天感染人数创最高纪录,2020-11-15 09:02:01,2020-11-15 13:44:02,16921
3,278171,内蒙古一小学49名家长齐聚跳舞,2020-11-15 11:24:02,2020-11-15 14:28:01,11039
3,278171,全美49个州被标为红色疫情严重地区,2020-11-15 10:38:01,2020-11-15 14:30:02,13921
3,278171,张东雨退伍,2020-11-15 10:36:02,2020-11-15 14:18:02,13320
3,278171,窦骁反差式演技,2020-11-15 07:30:02,2020-11-15 13:38:01,22079
3,278171,罗马尼亚一新冠病人重症病房发生火灾,2020-11-15 10:38:01,2020-11-15 12:20:02,6121
3,278171,丁程鑫雪中落泪,2020-11-15 07:12:01,2020-11-15 14:46:02,27241
3,278171,韩国男足7人感染新冠,2020-11-15 11:22:01,2020-11-15 13:22:02,7201
3,278171,唯品会二审败诉,2020-11-15 11:48:02,2020-11-15 17:12:02,19440
3,278171,拜登获306张选举人票特朗普获232张,2020-11-14 16:08:01,2020-11-16 07:18:02,54601
3,278171,两女子坐后备箱兜风拍视频被举报,2020-11-15 08:28:02,2020-11-15 13:32:02,18240
3,278171,这就是现实版扫地僧,2020-11-15 08:16:02,2020-11-15 14:18:02,21720
3,278171,江西婺源枫叶红了,2020-11-15 08:24:02,2020-11-15 13:32:02,18480
3,278171,珉豪退伍,2020-11-15 08:46:01,2020-11-15 13:54:01,18480
3,278171,特朗普团队选举诉讼在多州被驳回,2020-11-14 15:18:01,2020-11-15 12:18:02,75601
3,278171,钟南山等了妻子8年才完婚,2020-11-14 21:38:02,2020-11-15 13:04:02,55560
3,278171,如何科学控糖,2020-11-15 07:38:02,2020-11-15 13:32:02,21240
3,278171,30000只蒙古羊的物流进度条,2020-11-15 09:50:02,2020-11-15 13:00:02,11400
3,278171,朱婷29分,2019-12-28 21:52:02,2020-11-15 12:40:02,53280
3,278171,丁真,2020-11-13 08:08:02,2020-11-19 09:10:01,3719
3,278171,寒衣节,2020-11-15 09:58:02,2020-11-15 13:00:02,10920
3,278171,埃及出土上百具2500年前彩绘木棺,2020-11-15 09:54:02,2020-11-15 12:54:02,10800
3,278171,小学生课间跳竹竿舞,2020-11-15 11:04:02,2020-11-15 12:52:01,6479
3,278171,喀什疏附县4地降为低风险,2020-11-15 11:46:02,2020-11-15 13:12:02,5160
3,278171,CATTI,2020-11-14 11:30:01,2020-11-15 12:30:01,3600
3,278171,跳高愣是玩成了投标枪,2020-11-15 10:18:01,2020-11-15 12:14:02,6961
3,278171,美国疫情,2020-02-29 08:34:01,2020-11-23 08:28:02,86041
3,278171,申花上港身着防护服抵达多哈,2020-11-15 11:58:02,2020-11-15 12:58:02,3600
3,278171,Perkz确认离开G2,2020-11-15 08:18:02,2020-11-15 12:04:02,13560
3,278171,快递车起火千余件快递被烧毁,2020-11-15 09:00:02,2020-11-15 12:10:02,11400
4,278531,唐艺昕演的建宁公主好可爱,2020-11-15 22:46:01,2020-11-16 12:32:02,49561
4,278531,家长要求救娃者删视频称侵犯隐私,2020-11-15 22:06:02,2020-11-16 10:54:02,46080
4,278531,迪丽热巴华晨宇王一博杨超越四排,2020-11-15 21:04:02,2020-11-16 10:52:02,49680
4,278531,鹿鼎记,2020-11-15 21:10:02,2020-11-21 09:08:01,43079
4,278531,赵紫薇发与孟子义聊天截图,2020-11-15 18:30:02,2020-11-16 09:54:02,55440
4,278531,小象互娱声明,2020-11-15 22:42:01,2020-11-16 08:36:01,35640
4,278531,和平精英直播,2020-11-15 20:06:01,2020-11-16 07:48:02,42121
4,278531,秦紫舒恢复视力,2020-11-15 21:44:02,2020-11-16 08:18:01,38039
4,278531,RCEP会带来怎样的影响,2020-11-15 22:04:01,2020-11-16 14:08:02,57841
4,278531,钟南山疫情期间日程表,2020-11-15 18:52:01,2020-11-16 07:56:02,47041
4,278531,王一博游戏ID非著名八倍镜,2020-11-15 21:24:01,2020-11-16 10:30:01,47160
4,278531,迪丽热巴游戏ID西北孤傲的狼,2020-11-15 20:54:02,2020-11-16 09:26:01,45119
4,278531,虞书欣胡一天主持,2020-11-15 19:22:01,2020-11-16 08:56:01,48840
4,278531,美国新冠死亡数相当于每天掉两架客机,2020-11-15 17:42:02,2020-11-16 08:06:01,51839
4,278531,找不到工作的原因找到了,2020-11-15 16:54:01,2020-11-16 07:16:02,51721
4,278531,锦江宾馆,2020-11-15 21:24:01,2020-11-16 10:14:02,46201
4,278531,抖音推荐,2020-11-15 22:30:02,2020-11-16 12:44:02,51240
4,278531,冯提莫张碧晨神奇好炸,2020-11-15 23:08:02,2020-11-16 10:32:02,41040
4,278531,全国教材循环用1年可省200多亿,2020-11-15 19:32:01,2020-11-16 07:54:02,44521
4,278531,RM,2020-11-01 22:20:02,2020-11-16 09:50:01,41399
4,278531,李玟小鬼你是我的superman,2020-11-15 23:16:02,2020-11-16 09:22:01,36359
4,278531,从结婚开始恋爱,2020-10-29 20:46:01,2020-11-24 09:30:02,45841
4,278531,高伟光演技,2020-02-16 10:40:02,2020-11-16 11:54:02,4440
4,278531,武汉大学教授16年无偿献血200次,2020-11-15 21:44:02,2020-11-16 08:32:02,38880
4,278531,熊顿,2020-10-12 22:54:01,2020-11-16 10:20:02,41161
4,278531,景区收集银杏落叶供游客抛洒拍照,2020-11-15 20:14:02,2020-11-16 07:54:02,42000
4,278531,樊振东世界杯四冠王,2020-11-15 22:12:01,2020-11-16 07:16:02,32641
4,278531,用排球砸学生体育老师已停课,2020-11-15 17:08:02,2020-11-16 04:40:02,41520
4,278531,纽约州回应白宫不提供新冠疫苗,2020-11-15 12:16:02,2020-11-16 09:56:01,77999
4,278531,硬糖少女复古舞台好撩,2020-11-15 22:38:02,2020-11-16 09:10:02,37920
4,278531,华晨宇粉丝红色灯牌覆盖率,2020-11-15 22:58:02,2020-11-16 09:50:01,39119
4,278531,唐嫣上海话台词,2020-11-15 22:00:02,2020-11-16 09:28:02,41280
4,278531,孙楠郑云龙一荤一素听哭了,2020-11-15 23:08:02,2020-11-16 09:26:01,37079
4,278531,拜登获306张选举人票特朗普获232张,2020-11-14 16:08:01,2020-11-16 07:18:02,54601
4,278531,杨超越顾居居吃鸡,2020-11-15 23:22:01,2020-11-16 11:18:01,42960
4,278531,令人无路可退的辞职方式,2020-11-15 21:26:01,2020-11-16 10:52:02,48361
4,278531,天天向上,2019-10-27 23:08:02,2020-11-23 11:14:02,43560
4,278531,我们的歌,2019-10-27 22:26:01,2020-11-23 09:26:02,39601
4,278531,人民日报评雷霆战将,2020-11-15 20:42:02,2020-11-16 07:38:01,39359
4,278531,邓超吐槽陪孙俪选窗帘意见全被否定,2020-11-15 16:50:02,2020-11-16 07:52:02,54120
4,278531,邓伦工作室声明,2020-11-15 20:06:01,2020-11-16 07:56:02,42601
4,278531,河南原阳一农家6人被杀,2020-11-15 16:40:02,2020-11-16 07:48:02,54480
4,278531,秦紫舒和池铁城同归于尽,2020-11-15 23:50:02,2020-11-16 09:28:02,34680
4,278531,韦小宝皇上初遇,2020-11-15 22:48:02,2020-11-16 10:46:01,43079
4,278531,王耀庆老师 桃李满天下,2020-11-15 18:40:01,2020-11-16 09:24:02,53041
4,278531,临沂23岁辅警被嫌犯刺伤牺牲,2020-11-15 21:48:02,2020-11-16 08:08:02,37200
4,278531,于正朋友圈发文,2020-11-15 16:28:02,2020-11-16 02:06:02,34680
4,278531,白岩松谈医生术后喝葡萄糖水争议,2020-11-15 14:00:02,2020-11-16 07:28:02,62880
4,278531,优胜教育初步统计补偿2万余人,2020-11-15 18:40:01,2020-11-16 07:26:02,45961
4,278531,爆浆芝士千层肉饼,2020-11-15 23:04:02,2020-11-16 00:26:01,4919
5,278891,李沁张檬杨幂蒋梦婕同框旧照,2020-11-16 10:14:02,2020-11-16 18:50:01,30959
5,278891,特朗普发推称2020总统选举违宪,2020-11-16 09:56:01,2020-11-16 17:16:02,26401
5,278891,张庭女儿回应长相争议,2020-11-16 11:20:02,2020-11-16 20:02:01,31319
5,278891,郑秀晶谈fx,2020-11-16 11:08:02,2020-11-16 19:20:02,29520
5,278891,腾讯全民K歌涉黄被罚全面整改,2020-11-16 11:00:02,2020-11-16 18:02:02,25320
5,278891,鹿鼎记评分,2020-11-16 11:10:01,2020-11-16 19:28:02,29881
5,278891,请回答1988珍珠长大了,2020-11-16 07:40:02,2020-11-16 15:40:02,28800
5,278891,香港油麻地发生火灾,2020-11-16 09:30:01,2020-11-16 15:56:01,23160
5,278891,请回答1988,2020-11-16 08:58:02,2020-11-16 17:48:02,31800
5,278891,鞠婧祎演被绑架像咬化妆棉,2020-11-16 08:52:01,2020-11-16 17:02:01,29400
5,278891,黄奕 油腻男不也多的是吗,2020-11-16 11:28:02,2020-11-16 19:20:02,28320
5,278891,王刚首次回应砸宝事件,2020-11-16 09:50:01,2020-11-16 15:46:02,21361
5,278891,美媒称美国疫情达巨大灾难级别,2020-11-16 08:34:01,2020-11-16 16:12:02,27481
5,278891,2岁男童独自搭网约车从广西到广东,2020-11-16 09:26:01,2020-11-16 15:36:02,22201
5,278891,曹格女儿10岁腿长,2020-11-16 07:38:01,2020-11-16 15:40:02,28921
5,278891,张晶,2020-11-16 11:32:02,2020-11-16 18:40:02,25680
5,278891,云南民族大学,2020-11-16 10:56:02,2020-11-16 15:12:02,15360
5,278891,女主播在西湖边跪爬征婚,2020-11-16 10:28:02,2020-11-16 15:48:02,19200
5,278891,老师公主抱男生演示阑尾炎手术,2020-11-16 10:56:02,2020-11-16 14:44:02,13680
5,278891,王俊凯叉叉勾勾勾,2020-11-16 11:36:02,2020-11-16 18:52:02,26160
5,278891,赵丽颖花间仙意大片,2020-11-16 11:38:02,2020-11-16 19:26:01,28079
5,278891,和平精英,2020-04-03 20:02:01,2020-11-16 14:26:02,66241
5,278891,英国首相开始自我隔离,2020-11-16 07:18:02,2020-11-16 16:02:01,31439
5,278891,张艺凡拜托粉丝别走,2020-11-16 07:50:01,2020-11-16 14:44:02,24841
5,278891,成华区,2020-11-16 11:10:01,2020-11-16 13:52:02,9721
5,278891,如果2020是一部电影,2020-11-16 10:48:02,2020-11-16 13:16:02,8880
5,278891,四川新增确诊3例境外输入,2020-11-16 09:52:02,2020-11-16 14:10:02,15480
5,278891,股市,2019-11-11 10:38:02,2020-11-23 13:40:02,10920
5,278891,刚学会网上聊天的人类幼崽,2020-11-16 09:30:01,2020-11-16 14:14:02,17041
5,278891,如花扮演者感谢古天乐甘比帮助,2020-11-16 08:10:01,2020-11-16 12:54:01,17040
5,278891,星际少女是赵露,2020-11-16 09:28:02,2020-11-16 13:12:02,13440
5,278891,首批加工后的12000只羊到武汉了,2020-11-16 10:22:01,2020-11-16 16:18:02,21361
5,278891,RCEP会带来怎样的影响,2020-11-15 22:04:01,2020-11-16 14:08:02,57841
5,278891,8人因看剧组团盗墓被抓,2020-11-16 08:20:02,2020-11-16 12:50:02,16200
5,278891,鹿鼎记,2020-11-15 21:10:02,2020-11-21 09:08:01,43079
5,278891,原阳1家6口被杀案同村村民发声,2020-11-16 07:42:01,2020-11-16 12:50:02,18481
5,278891,抖音推荐,2020-11-15 22:30:02,2020-11-16 12:44:02,51240
5,278891,世界最大紫粉钻石卖出1.76亿元,2020-11-16 07:56:02,2020-11-16 13:42:01,20759
5,278891,基金,2020-02-24 15:20:02,2020-11-23 20:14:01,17639
5,278891,杨紫西装镜像封面,2020-11-16 11:54:02,2020-11-16 15:46:02,13920
5,278891,唐艺昕演的建宁公主好可爱,2020-11-15 22:46:01,2020-11-16 12:32:02,49561
5,278891,老人住院95岁老伴喂饭,2020-11-16 11:46:02,2020-11-16 14:22:02,9360
5,278891,云南回应禁止遛狗第3次直接捕杀,2020-11-16 07:58:02,2020-11-16 12:46:02,17280
5,278891,光遇,2020-03-12 12:48:01,2020-11-17 13:38:02,3001
5,278891,伞兵颜值,2020-11-16 08:08:02,2020-11-16 12:14:02,14760
5,278891,日本将对中韩约五成农产品撤销关税,2020-11-16 07:20:02,2020-11-16 12:08:02,17280
5,278891,美国新冠肺炎超1100万例,2020-11-16 07:28:02,2020-11-16 12:30:01,18119
5,278891,新谋女郎刘浩存素颜照,2020-11-16 11:52:01,2020-11-16 17:52:02,21601
6,279251,王思聪评论半藏森林,2020-11-16 21:56:01,2020-11-17 14:08:02,58321
6,279251,医院回应护士在副院长家顶楼自杀,2020-11-16 22:52:02,2020-11-17 09:32:02,38400
6,279251,杨洋蜡像遭骚扰,2020-11-16 22:52:02,2020-11-17 12:20:01,48479
6,279251,邓家佳,2020-11-16 19:34:01,2020-11-17 11:44:02,58201
6,279251,圆通内鬼致40万条个人信息泄露,2020-11-16 21:14:02,2020-11-17 09:16:01,43319
6,279251,萧胡辇怀孕,2020-11-16 21:38:02,2020-11-17 08:32:01,39239
6,279251,杭州拍到一丘之貉中的貉,2020-11-16 22:22:02,2020-11-17 09:44:02,40920
6,279251,顶楼,2020-10-28 08:02:01,2020-11-24 07:46:02,85441
6,279251,特朗普发推称赢了大选,2020-11-16 14:08:02,2020-11-17 09:38:02,70200
6,279251,韦小宝在小郡主脸上画画,2020-11-16 22:10:02,2020-11-17 07:50:02,34800
6,279251,张一山方回应演技争议,2020-11-16 19:30:01,2020-11-17 10:36:01,54360
6,279251,金莎 追星女孩单身的原因,2020-11-16 21:22:02,2020-11-17 09:52:02,45000
6,279251,新鹿鼎记鳌拜家写了鳌府,2020-11-16 18:20:02,2020-11-17 09:06:02,53160
6,279251,钟南山说新冠病毒溯源尚未完成,2020-11-16 20:36:02,2020-11-17 07:56:01,40799
6,279251,潘长江cos陈奕迅,2020-11-16 21:46:02,2020-11-17 07:42:02,35760
6,279251,官方回应卖淫嫖娼者通报单位社区及家人,2020-11-16 23:34:02,2020-11-17 09:18:02,35040
6,279251,如何形容高光很亮,2020-11-16 22:54:02,2020-11-17 07:12:02,29880
6,279251,化学老师制作49支唇膏送学生,2020-11-16 19:24:02,2020-11-17 07:36:02,43920
6,279251,麦当劳中国投资25亿卖咖啡,2020-11-16 17:46:02,2020-11-17 07:20:02,48840
6,279251,周杰伦的创作能力有多强,2020-11-16 23:18:02,2020-11-17 09:50:02,37920
6,279251,李现,2019-12-01 09:32:02,2020-11-17 08:32:01,82799
6,279251,大学生订婚假批语有多温柔,2020-11-16 19:50:02,2020-11-17 10:46:02,53760
6,279251,美国大选正式结果何时官宣,2020-11-16 21:42:02,2020-11-17 16:44:01,68519
6,279251,故宫的秋天请慢一点,2020-11-16 23:18:02,2020-11-17 08:40:02,33720
6,279251,方怡答应做韦小宝老婆,2020-11-16 23:32:02,2020-11-17 11:34:01,43319
6,279251,分别时偷偷挥手的老人,2020-11-16 22:40:02,2020-11-17 07:32:02,31920
6,279251,阴阳师,2020-03-24 20:30:02,2020-11-23 18:36:01,79559
6,279251,天下足球,2020-11-16 21:46:02,2020-11-17 07:30:02,35040
6,279251,蒙古族新兵首次实弹射击50环,2020-11-16 21:14:02,2020-11-17 07:24:02,36600
6,279251,卖玩具枪获刑十年男子提前回家,2020-11-16 23:06:02,2020-11-17 08:42:01,34559
6,279251,日本一年少50万人,2020-11-16 23:14:01,2020-11-17 07:44:02,30601
6,279251,住山洞8年小伙回应参观收费,2020-11-16 23:20:02,2020-11-17 08:34:02,33240
6,279251,李宇春珍珠白断层西装,2020-11-16 23:04:02,2020-11-17 07:32:02,30480
6,279251,马明被双开,2020-11-16 18:46:01,2020-11-17 08:32:01,49560
6,279251,在副院长家顶楼自杀女护士父亲发声,2020-11-16 23:16:02,2020-11-17 11:52:02,45360
6,279251,乐华娱乐否认王富贵是公司职粉,2020-11-16 17:40:02,2020-11-17 07:08:02,48480
6,279251,王源20岁首封,2020-11-16 19:32:02,2020-11-17 07:10:02,41880
6,279251,考完试从考场出来的我,2020-11-16 22:16:01,2020-11-17 02:34:02,15481
6,279251,6起交通死亡案例全是骑车人和行人全责,2020-11-16 21:54:02,2020-11-17 07:38:02,35040
6,279251,人类能懒到什么程度,2020-11-16 19:52:02,2020-11-17 07:14:01,40919
6,279251,做家教不小心暴露土味鞋垫,2020-11-16 19:26:01,2020-11-17 06:38:02,40321
6,279251,理工男将宿舍门锁改成智能锁,2020-11-16 21:58:02,2020-11-17 07:12:02,33240
6,279251,沈青禾男友力,2020-11-16 21:58:02,2020-11-17 07:08:02,33000
6,279251,林黛玉倒拔垂杨柳,2020-11-16 16:30:02,2020-11-17 01:28:02,32280
